formula,x_Fe_x,x_Mn_x,x_Ni_x,x_Mg_x,x_Fe_y,x_Mn_y,x_Ni_y,x_Mg_y,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V,x_Fe,x_Mn,x_Ni,x_Mg,Vavg_V,Vavg_V_unc,E_hull_meV,E_hull_meV_unc,E_g,E_g_unc,dV_percent_unc,density_g_cm3_unc,acq
LiFe0.34Mn0.13Ni0.25Mg0.28PO4,0.34,0.13,0.25,0.28,0.34,0.13,0.25,0.28,302.3509776334939,277.7729945793471,10.055836954821334,3.842608107607701,4.232,0.34,0.13,0.25,0.28,3.729530899777047,0.0503104607226921,31.638260089385746,2.2592442630923384,1.5843552712949358,0.1331224892621825,0.513982270140566,0.087079835785163,0.00010293957930853433
LiFe0.02Mn0.38Ni0.01Mg0.60PO4,0.02,0.38,0.01,0.6,0.02,0.38,0.01,0.6,303.60318445806803,274.9390313858076,12.177956670405155,3.5582128610654373,4.296,0.02,0.38,0.01,0.6,3.498660419165211,0.0528044411394201,35.087704515683704,3.5925075406431968,2.172427422293569,0.0769860250583078,0.1689364525310179,0.0604912791927582,5.642546927784382e-14
LiFe0.00Mn0.15Ni0.58Mg0.28PO4,0.0,0.15,0.58,0.28,0.0,0.15,0.58,0.28,303.6814473846039,274.7619086862114,10.999931451525162,3.902263079743851,4.3,0.0,0.15,0.58,0.28,3.76130809117556,0.0313193060696223,28.621434074957723,3.158091583937729,1.6539868421131352,0.0225132341407974,0.2785042800143425,0.0850711725900568,1.2374128807243192e-05
LiFe0.00Mn0.87Ni0.01Mg0.13PO4,0.0,0.87,0.01,0.13,0.0,0.87,0.01,0.13,303.6814473846039,274.7619086862114,11.98974354350875,3.106123958475916,4.3,0.0,0.87,0.01,0.13,3.3237401601972016,0.0252370918756809,43.07354358891157,2.030766766118596,2.404106651537158,0.095864795801836,0.7341036548132526,0.0290335675019746,1.376856255932945e-101
LiFe0.16Mn0.11Ni0.03Mg0.71PO4,0.16,0.11,0.03,0.71,0.16,0.11,0.03,0.71,303.0553439723169,276.1788902829812,11.374155910134904,3.9420957378518304,4.268,0.16,0.11,0.03,0.71,3.786158336609738,0.0098662275805273,28.664508499567415,1.381841293430877,1.6568629479696435,0.0243451057551433,0.2335814442748382,0.0886913685562384,2.089838375668751e-15
LiFe0.54Mn0.00Ni0.11Mg0.34PO4,0.54,0.0,0.11,0.34,0.54,0.0,0.11,0.34,301.56834836813516,279.5442215753093,6.031250205674277,3.4033170899129166,4.192,0.54,0.0,0.11,0.34,3.747176301205712,0.0461457332728914,45.99858621404939,3.210045777287485,1.8231639925990817,0.1049079768134946,0.6088132762571016,0.0517212914937597,0.00015199818613584565
LiFe0.25Mn0.08Ni0.03Mg0.64PO4,0.25,0.08,0.03,0.64,0.25,0.08,0.03,0.64,302.7031608029054,276.9759424311641,10.638634996464036,3.91121323247606,4.25,0.25,0.08,0.03,0.64,3.7472327567377777,0.0453857514256406,30.31258745208357,3.5217643885662997,1.6175753160962856,0.1224162423616984,0.6973986195045057,0.1032820810813203,0.00013356529783407922
LiFe0.59Mn0.16Ni0.24Mg0.00PO4,0.59,0.16,0.24,0.0,0.59,0.16,0.24,0.0,301.3726910517954,279.9870283242998,12.270481268815663,4.082694064760597,4.1819999999999995,0.59,0.16,0.24,0.0,3.5536964334564742,0.0472803450755852,29.92727021821855,2.333895312089839,1.5313028596241154,0.0541836432337051,0.6298918476867075,0.0913421411189674,6.613529236460692e-13
LiFe0.19Mn0.43Ni0.17Mg0.20PO4,0.19,0.43,0.17,0.2,0.19,0.43,0.17,0.2,302.93794958251306,276.4445743323755,12.129987729260716,3.603390226281516,4.262,0.19,0.43,0.17,0.2,3.4846271599750147,0.0536973806214547,34.027778506021114,2.8682164793344604,2.247471162497578,0.0471397435819204,0.1254282779653159,0.0578024801471693,1.9905967405268632e-14
LiFe0.21Mn0.16Ni0.53Mg0.11PO4,0.21,0.16,0.53,0.11,0.21,0.16,0.53,0.11,302.85968665597716,276.6216970319717,10.999931451525162,3.902263079743851,4.258,0.21,0.16,0.53,0.11,3.76130809117556,0.0313193060696223,28.621434074957723,3.158091583937729,1.6539868421131352,0.0225132341407974,0.2785042800143425,0.0850711725900568,1.2374128807243192e-05
LiFe0.51Mn0.16Ni0.28Mg0.04PO4,0.51,0.16,0.28,0.04,0.51,0.16,0.28,0.04,301.68574275793895,279.2785375259149,10.214432356390995,3.886376745052512,4.1979999999999995,0.51,0.16,0.28,0.04,3.728566692388932,0.0441196166041451,30.6243285922121,2.6391506644719627,1.5573086581154498,0.1269381206133905,0.4816440421152418,0.0846226416808276,2.6943986642389184e-05
LiFe0.06Mn0.31Ni0.23Mg0.40PO4,0.06,0.31,0.23,0.4,0.06,0.31,0.23,0.4,303.4466586049963,275.29327678500005,11.613994051298167,3.371405533491431,4.288,0.06,0.31,0.23,0.4,3.743871360679434,0.0718559697091562,29.910401689858592,3.768090623098872,1.9912276605383403,0.0527805733872025,0.7054636746155327,0.0895756202761153,0.0018940762412009435
LiFe0.20Mn0.01Ni0.52Mg0.27PO4,0.2,0.01,0.52,0.27,0.2,0.01,0.52,0.27,302.8988181192451,276.5331356821736,7.168889961723537,3.4514526969232167,4.26,0.2,0.01,0.52,0.27,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.03Mn0.10Ni0.66Mg0.21PO4,0.03,0.1,0.66,0.21,0.03,0.1,0.66,0.21,303.5640529948001,275.02759273560577,11.374155910134904,3.9420957378518304,4.294,0.03,0.1,0.66,0.21,3.786158336609738,0.0098662275805273,28.664508499567415,1.381841293430877,1.6568629479696435,0.0243451057551433,0.2335814442748382,0.0886913685562384,2.089838375668751e-15
LiFe0.02Mn0.44Ni0.44Mg0.09PO4,0.02,0.44,0.44,0.09,0.02,0.44,0.44,0.09,303.60318445806803,274.9390313858076,12.129987729260716,3.603390226281516,4.296,0.02,0.44,0.44,0.09,3.4846271599750147,0.0536973806214547,34.027778506021114,2.8682164793344604,2.247471162497578,0.0471397435819204,0.1254282779653159,0.0578024801471693,1.9905967405268632e-14
LiFe0.39Mn0.29Ni0.12Mg0.20PO4,0.39,0.29,0.12,0.2,0.39,0.29,0.12,0.2,302.1553203171543,278.21580132833765,3.1074764206073953,3.039592522199581,4.2219999999999995,0.39,0.29,0.12,0.2,3.6054546814629296,0.1173823888812468,49.39290731597253,3.4441710649678146,1.6289801072829688,0.2040085704167406,0.6873486419664127,0.0867169976938173,0.000707116518782234
LiFe0.38Mn0.11Ni0.31Mg0.19PO4,0.38,0.11,0.31,0.19,0.38,0.11,0.31,0.19,302.1944517804222,278.12723997853954,10.626786500820511,3.920457450795678,4.224,0.38,0.11,0.31,0.19,3.740162155632753,0.0434623669669645,30.648408503493123,3.7378213826614455,1.624691224765021,0.1220655314432492,0.696914720513749,0.1013661501436445,5.5697066398349064e-05
LiFe0.00Mn0.53Ni0.18Mg0.29PO4,0.0,0.53,0.18,0.29,0.0,0.53,0.18,0.29,303.6814473846039,274.7619086862114,12.559751217212822,3.6825174293225262,4.3,0.0,0.53,0.18,0.29,3.733063127568296,0.0273688126438423,26.3651741294068,2.6033763950570616,2.4932300133804417,0.0161320563563044,0.0862832823924414,0.0302709336510114,2.3746100111568875e-08
LiFe0.21Mn0.36Ni0.29Mg0.15PO4,0.21,0.36,0.29,0.15,0.21,0.36,0.29,0.15,302.85968665597716,276.6216970319717,12.256547624934717,3.4082686768164057,4.258,0.21,0.36,0.29,0.15,3.688712689094622,0.0649483568140935,31.814886314777855,4.5846039222790695,2.048531855751983,0.051082218461705,0.3760473588005307,0.0812370092008961,0.0001079697719177878
LiFe0.32Mn0.05Ni0.57Mg0.07PO4,0.32,0.05,0.57,0.07,0.32,0.05,0.57,0.07,302.4292405600298,277.59587187975086,5.885690131736334,3.3690203844215287,4.236,0.32,0.05,0.57,0.07,3.7468189318709153,0.0468636492666998,45.990901686498646,2.853904326978498,1.826265212486184,0.1108143752179706,0.6332923826111597,0.0519983759674688,0.00016772043724544222
LiFe0.17Mn0.18Ni0.02Mg0.64PO4,0.17,0.18,0.02,0.64,0.17,0.18,0.02,0.64,303.01621250904896,276.2674516327793,10.999931451525162,3.902263079743851,4.266,0.17,0.18,0.02,0.64,3.7614267741364578,0.0311891170675765,28.60447479889083,3.1347448151997015,1.6539868421131352,0.0225132341407974,0.2785042800143425,0.0850711725900568,1.1951158331192647e-05
LiFe0.09Mn0.27Ni0.52Mg0.12PO4,0.09,0.27,0.52,0.12,0.09,0.27,0.52,0.12,303.3292642151925,275.5589608343944,6.317096253170482,3.3673432328108532,4.282,0.09,0.27,0.52,0.12,3.633232415421556,0.0849762772512932,32.16956095631718,7.4544796804061795,1.8153113070218612,0.0999255158464295,0.4814195740266503,0.1029747550834482,0.0001207185338209858
LiFe0.09Mn0.21Ni0.47Mg0.23PO4,0.09,0.21,0.47,0.23,0.09,0.21,0.47,0.23,303.3292642151925,275.5589608343944,5.30448584492205,3.3006530349402294,4.282,0.09,0.21,0.47,0.23,3.6377006496490623,0.0619482291137885,37.33912639545844,5.702249156417231,1.6763869290280176,0.1102881634215672,0.3250344187862307,0.0591426486446453,3.519311859253873e-06
LiFe0.16Mn0.28Ni0.12Mg0.44PO4,0.16,0.28,0.12,0.44,0.16,0.28,0.12,0.44,303.0553439723169,276.1788902829812,6.317096253170482,3.3673432328108532,4.268,0.16,0.28,0.12,0.44,3.633232415421556,0.0849762772512932,32.16956095631718,7.4544796804061795,1.8153113070218612,0.0999255158464295,0.4814195740266503,0.1029747550834482,0.0001207185338209858
LiFe0.12Mn0.00Ni0.88Mg0.00PO4,0.12,0.0,0.88,0.0,0.12,0.0,0.88,0.0,303.21186982538865,275.8246448837887,7.168889961723537,3.4514526969232167,4.276,0.12,0.0,0.88,0.0,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.14Mn0.09Ni0.65Mg0.11PO4,0.14,0.09,0.65,0.11,0.14,0.09,0.65,0.11,303.1336068988528,276.00176758338495,11.374155910134904,3.9420957378518304,4.272,0.14,0.09,0.65,0.11,3.786158336609738,0.0098662275805273,28.664508499567415,1.381841293430877,1.6568629479696435,0.0243451057551433,0.2335814442748382,0.0886913685562384,2.089838375668751e-15
LiFe0.11Mn0.02Ni0.27Mg0.61PO4,0.11,0.02,0.27,0.61,0.11,0.02,0.27,0.61,303.2510012886566,275.7360835339906,7.168889961723537,3.4514526969232167,4.278,0.11,0.02,0.27,0.61,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.30Mn0.11Ni0.58Mg0.01PO4,0.3,0.11,0.58,0.01,0.3,0.11,0.58,0.01,302.5075034865657,277.41874918015463,10.638634996464036,3.91121323247606,4.24,0.3,0.11,0.58,0.01,3.7472327567377777,0.0453857514256406,30.31258745208357,3.5217643885662997,1.6175753160962856,0.1224162423616984,0.6973986195045057,0.1032820810813203,0.00013356529783407922
LiFe0.27Mn0.14Ni0.09Mg0.50PO4,0.27,0.14,0.09,0.5,0.27,0.14,0.09,0.5,302.6248978763695,277.15306513076035,10.069109732596006,3.833497140545041,4.246,0.27,0.14,0.09,0.5,3.7374670636504015,0.0535867521996315,31.341780793149557,2.031187839711315,1.5777286495914404,0.1345197043687952,0.502655264094775,0.0893085584572997,0.00026731709227951215
LiFe0.11Mn0.41Ni0.00Mg0.48PO4,0.11,0.41,0.0,0.48,0.11,0.41,0.0,0.48,303.2510012886566,275.7360835339906,12.177956670405155,3.5582128610654373,4.278,0.11,0.41,0.0,0.48,3.498660419165211,0.0528044411394201,35.087704515683704,3.5925075406431968,2.172427422293569,0.0769860250583078,0.1689364525310179,0.0604912791927582,5.642546927784382e-14
LiFe0.02Mn0.00Ni0.14Mg0.83PO4,0.02,0.0,0.14,0.83,0.02,0.0,0.14,0.83,303.60318445806803,274.9390313858076,7.168889961723537,3.4514526969232167,4.296,0.02,0.0,0.14,0.83,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.47Mn0.19Ni0.07Mg0.27PO4,0.47,0.19,0.07,0.27,0.47,0.19,0.07,0.27,301.8422686110107,278.92429212672255,3.0044189671249972,3.02820663639813,4.2059999999999995,0.47,0.19,0.07,0.27,3.613169040165673,0.1171658184928056,49.550321685715915,3.185931847463762,1.5933482298650137,0.2107075353819879,0.6649695930081699,0.0857646585867484,0.0008372058070559591
LiFe0.07Mn0.53Ni0.33Mg0.07PO4,0.07,0.53,0.33,0.07,0.07,0.53,0.33,0.07,303.40752714172834,275.38183813479816,12.559751217212822,3.6825174293225262,4.286,0.07,0.53,0.33,0.07,3.733063127568296,0.0273688126438423,26.3651741294068,2.6033763950570616,2.4932300133804417,0.0161320563563044,0.0862832823924414,0.0302709336510114,2.3746100111568875e-08
LiFe0.12Mn0.36Ni0.24Mg0.28PO4,0.12,0.36,0.24,0.28,0.12,0.36,0.24,0.28,303.21186982538865,275.8246448837887,12.256547624934717,3.4082686768164057,4.276,0.12,0.36,0.24,0.28,3.688712689094622,0.0649483568140935,31.814886314777855,4.5846039222790695,2.048531855751983,0.051082218461705,0.3760473588005307,0.0812370092008961,0.0001079697719177878
LiFe0.09Mn0.11Ni0.01Mg0.80PO4,0.09,0.11,0.01,0.8,0.09,0.11,0.01,0.8,303.3292642151925,275.5589608343944,11.374155910134904,3.9420957378518304,4.282,0.09,0.11,0.01,0.8,3.786158336609738,0.0098662275805273,28.664508499567415,1.381841293430877,1.6568629479696435,0.0243451057551433,0.2335814442748382,0.0886913685562384,2.089838375668751e-15
LiFe0.54Mn0.06Ni0.35Mg0.06PO4,0.54,0.06,0.35,0.06,0.54,0.06,0.35,0.06,301.56834836813516,279.5442215753093,6.031250205674277,3.4033170899129166,4.192,0.54,0.06,0.35,0.06,3.747176301205712,0.0461457332728914,45.99858621404939,3.210045777287485,1.8231639925990817,0.1049079768134946,0.6088132762571016,0.0517212914937597,0.00015199818613584565
LiFe0.17Mn0.01Ni0.14Mg0.68PO4,0.17,0.01,0.14,0.68,0.17,0.01,0.14,0.68,303.01621250904896,276.2674516327793,7.168889961723537,3.4514526969232167,4.266,0.17,0.01,0.14,0.68,3.788519211003138,0.0021339936743098,40.06589718183304,0.1487021129274035,1.7870602129933582,0.0035486446922222,0.0144007041142437,0.0025917486565009,2.4178421847859105e-217
LiFe0.21Mn0.17Ni0.26Mg0.36PO4,0.21,0.17,0.26,0.36,0.21,0.17,0.26,0.36,302.85968665597716,276.6216970319717,10.999931451525162,3.902263079743851,4.258,0.21,0.17,0.26,0.36,3.7614267741364578,0.0311891170675765,28.60447479889083,3.1347448151997015,1.6539868421131352,0.0225132341407974,0.2785042800143425,0.0850711725900568,1.1951158331192647e-05
