formula,x_Fe,x_Mn,x_Ni,x_Mg
LiFe0.47Mn0.32Ni0.20Mg0.01PO4,0.47,0.32,0.2,0.01
LiFe0.50Mn0.27Ni0.13Mg0.10PO4,0.5,0.27,0.13,0.1
LiFe0.03Mn0.10Ni0.66Mg0.21PO4,0.03,0.1,0.66,0.21
LiFe0.04Mn0.03Ni0.63Mg0.30PO4,0.04,0.03,0.63,0.3
LiFe0.19Mn0.43Ni0.17Mg0.20PO4,0.19,0.43,0.17,0.2
LiFe0.31Mn0.33Ni0.28Mg0.08PO4,0.31,0.33,0.28,0.08
LiFe0.20Mn0.01Ni0.52Mg0.27PO4,0.2,0.01,0.52,0.27
LiFe0.47Mn0.19Ni0.07Mg0.27PO4,0.47,0.19,0.07,0.27
LiFe0.08Mn0.48Ni0.12Mg0.32PO4,0.08,0.48,0.12,0.32
LiFe0.27Mn0.14Ni0.09Mg0.50PO4,0.27,0.14,0.09,0.5
LiFe0.52Mn0.41Ni0.01Mg0.07PO4,0.52,0.41,0.01,0.07
LiFe0.54Mn0.06Ni0.35Mg0.06PO4,0.54,0.06,0.35,0.06
LiFe0.26Mn0.04Ni0.16Mg0.54PO4,0.26,0.04,0.16,0.54
LiFe0.71Mn0.11Ni0.09Mg0.10PO4,0.71,0.11,0.09,0.1
LiFe0.36Mn0.55Ni0.06Mg0.04PO4,0.36,0.55,0.06,0.04
LiFe0.15Mn0.55Ni0.24Mg0.05PO4,0.15,0.55,0.24,0.05
LiFe0.06Mn0.31Ni0.23Mg0.40PO4,0.06,0.31,0.23,0.4
LiFe0.21Mn0.17Ni0.26Mg0.36PO4,0.21,0.17,0.26,0.36
LiFe0.05Mn0.28Ni0.06Mg0.62PO4,0.05,0.28,0.06,0.62
LiFe0.09Mn0.21Ni0.47Mg0.23PO4,0.09,0.21,0.47,0.23
LiFe0.45Mn0.31Ni0.01Mg0.23PO4,0.45,0.31,0.01,0.23
LiFe0.19Mn0.22Ni0.14Mg0.45PO4,0.19,0.22,0.14,0.45
LiFe0.49Mn0.36Ni0.05Mg0.11PO4,0.49,0.36,0.05,0.11
LiFe0.11Mn0.64Ni0.06Mg0.19PO4,0.11,0.64,0.06,0.19
LiFe0.08Mn0.59Ni0.24Mg0.09PO4,0.08,0.59,0.24,0.09
LiFe0.09Mn0.27Ni0.52Mg0.12PO4,0.09,0.27,0.52,0.12
LiFe0.35Mn0.39Ni0.21Mg0.05PO4,0.35,0.39,0.21,0.05
LiFe0.19Mn0.14Ni0.47Mg0.19PO4,0.19,0.14,0.47,0.19
LiFe0.25Mn0.08Ni0.03Mg0.64PO4,0.25,0.08,0.03,0.64
LiFe0.33Mn0.01Ni0.37Mg0.30PO4,0.33,0.01,0.37,0.3
LiFe0.39Mn0.29Ni0.12Mg0.20PO4,0.39,0.29,0.12,0.2
LiFe0.54Mn0.00Ni0.11Mg0.34PO4,0.54,0.0,0.11,0.34
LiFe0.73Mn0.09Ni0.10Mg0.07PO4,0.73,0.09,0.1,0.07
LiFe0.17Mn0.24Ni0.19Mg0.40PO4,0.17,0.24,0.19,0.4
LiFe0.12Mn0.36Ni0.24Mg0.28PO4,0.12,0.36,0.24,0.28
LiFe0.06Mn0.35Ni0.45Mg0.15PO4,0.06,0.35,0.45,0.15
LiFe0.17Mn0.72Ni0.06Mg0.05PO4,0.17,0.72,0.06,0.05
LiFe0.32Mn0.05Ni0.57Mg0.07PO4,0.32,0.05,0.57,0.07
LiFe0.10Mn0.10Ni0.09Mg0.71PO4,0.1,0.1,0.09,0.71
LiFe0.52Mn0.21Ni0.15Mg0.12PO4,0.52,0.21,0.15,0.12
LiFe0.26Mn0.52Ni0.13Mg0.08PO4,0.26,0.52,0.13,0.08
LiFe0.00Mn0.53Ni0.18Mg0.29PO4,0.0,0.53,0.18,0.29
LiFe0.21Mn0.16Ni0.53Mg0.11PO4,0.21,0.16,0.53,0.11
LiFe0.02Mn0.00Ni0.14Mg0.83PO4,0.02,0.0,0.14,0.83
LiFe0.00Mn0.15Ni0.58Mg0.28PO4,0.0,0.15,0.58,0.28
LiFe0.34Mn0.13Ni0.25Mg0.28PO4,0.34,0.13,0.25,0.28
LiFe0.16Mn0.00Ni0.14Mg0.70PO4,0.16,0.0,0.14,0.7
LiFe0.09Mn0.26Ni0.21Mg0.43PO4,0.09,0.26,0.21,0.43
LiFe0.13Mn0.50Ni0.14Mg0.23PO4,0.13,0.5,0.14,0.23
LiFe0.47Mn0.33Ni0.00Mg0.20PO4,0.47,0.33,0.0,0.2
LiFe0.38Mn0.11Ni0.31Mg0.19PO4,0.38,0.11,0.31,0.19
LiFe0.02Mn0.89Ni0.03Mg0.06PO4,0.02,0.89,0.03,0.06
LiFe0.21Mn0.36Ni0.29Mg0.15PO4,0.21,0.36,0.29,0.15
LiFe0.59Mn0.16Ni0.24Mg0.00PO4,0.59,0.16,0.24,0.0
LiFe0.09Mn0.27Ni0.49Mg0.15PO4,0.09,0.27,0.49,0.15
LiFe0.03Mn0.50Ni0.19Mg0.28PO4,0.03,0.5,0.19,0.28
LiFe0.14Mn0.09Ni0.65Mg0.11PO4,0.14,0.09,0.65,0.11
LiFe0.02Mn0.44Ni0.44Mg0.09PO4,0.02,0.44,0.44,0.09
LiFe0.28Mn0.06Ni0.19Mg0.46PO4,0.28,0.06,0.19,0.46
LiFe0.18Mn0.25Ni0.14Mg0.43PO4,0.18,0.25,0.14,0.43
LiFe0.30Mn0.46Ni0.12Mg0.11PO4,0.3,0.46,0.12,0.11
LiFe0.02Mn0.38Ni0.01Mg0.60PO4,0.02,0.38,0.01,0.6
LiFe0.89Mn0.00Ni0.02Mg0.09PO4,0.89,0.0,0.02,0.09
LiFe0.16Mn0.28Ni0.12Mg0.44PO4,0.16,0.28,0.12,0.44
