formula,x_Fe,x_Mn,x_Ni,x_Mg
LiFe0.15Mn0.03Ni0.02Mg0.80PO4,0.15,0.03,0.02,0.8
LiFe0.25Mn0.26Ni0.05Mg0.44PO4,0.25,0.26,0.05,0.44
LiFe0.29Mn0.08Ni0.32Mg0.30PO4,0.29,0.08,0.32,0.3
LiFe0.42Mn0.24Ni0.16Mg0.17PO4,0.42,0.24,0.16,0.17
LiFe0.04Mn0.72Ni0.22Mg0.02PO4,0.04,0.72,0.22,0.02
LiFe0.29Mn0.27Ni0.05Mg0.40PO4,0.29,0.27,0.05,0.4
LiFe0.51Mn0.00Ni0.41Mg0.08PO4,0.51,0.0,0.41,0.08
LiFe0.13Mn0.06Ni0.38Mg0.44PO4,0.13,0.06,0.38,0.44
LiFe0.13Mn0.48Ni0.25Mg0.14PO4,0.13,0.48,0.25,0.14
LiFe0.09Mn0.37Ni0.48Mg0.06PO4,0.09,0.37,0.48,0.06
LiFe0.31Mn0.52Ni0.00Mg0.17PO4,0.31,0.52,0.0,0.17
LiFe0.01Mn0.28Ni0.60Mg0.11PO4,0.01,0.28,0.6,0.11
LiFe0.20Mn0.12Ni0.46Mg0.22PO4,0.2,0.12,0.46,0.22
LiFe0.55Mn0.20Ni0.03Mg0.22PO4,0.55,0.2,0.03,0.22
LiFe0.23Mn0.01Ni0.56Mg0.20PO4,0.23,0.01,0.56,0.2
LiFe0.05Mn0.10Ni0.23Mg0.62PO4,0.05,0.1,0.23,0.62
LiFe0.21Mn0.15Ni0.14Mg0.50PO4,0.21,0.15,0.14,0.5
LiFe0.11Mn0.10Ni0.30Mg0.49PO4,0.11,0.1,0.3,0.49
LiFe0.09Mn0.41Ni0.20Mg0.30PO4,0.09,0.41,0.2,0.3
LiFe0.37Mn0.14Ni0.42Mg0.07PO4,0.37,0.14,0.42,0.07
LiFe0.08Mn0.39Ni0.01Mg0.52PO4,0.08,0.39,0.01,0.52
LiFe0.55Mn0.06Ni0.28Mg0.11PO4,0.55,0.06,0.28,0.11
LiFe0.13Mn0.17Ni0.13Mg0.57PO4,0.13,0.17,0.13,0.57
LiFe0.48Mn0.15Ni0.36Mg0.01PO4,0.48,0.15,0.36,0.01
LiFe0.23Mn0.42Ni0.14Mg0.21PO4,0.23,0.42,0.14,0.21
LiFe0.63Mn0.09Ni0.01Mg0.27PO4,0.63,0.09,0.01,0.27
LiFe0.27Mn0.04Ni0.12Mg0.56PO4,0.27,0.04,0.12,0.56
LiFe0.13Mn0.47Ni0.02Mg0.38PO4,0.13,0.47,0.02,0.38
LiFe0.11Mn0.25Ni0.22Mg0.42PO4,0.11,0.25,0.22,0.42
LiFe0.01Mn0.17Ni0.53Mg0.29PO4,0.01,0.17,0.53,0.29
LiFe0.01Mn0.70Ni0.15Mg0.13PO4,0.01,0.7,0.15,0.13
LiFe0.15Mn0.37Ni0.08Mg0.39PO4,0.15,0.37,0.08,0.39
LiFe0.29Mn0.52Ni0.09Mg0.09PO4,0.29,0.52,0.09,0.09
LiFe0.50Mn0.17Ni0.14Mg0.19PO4,0.5,0.17,0.14,0.19
LiFe0.32Mn0.20Ni0.25Mg0.22PO4,0.32,0.2,0.25,0.22
LiFe0.47Mn0.27Ni0.02Mg0.24PO4,0.47,0.27,0.02,0.24
LiFe0.26Mn0.05Ni0.35Mg0.33PO4,0.26,0.05,0.35,0.33
LiFe0.18Mn0.15Ni0.11Mg0.56PO4,0.18,0.15,0.11,0.56
LiFe0.25Mn0.21Ni0.22Mg0.32PO4,0.25,0.21,0.22,0.32
LiFe0.67Mn0.17Ni0.11Mg0.05PO4,0.67,0.17,0.11,0.05
LiFe0.28Mn0.14Ni0.22Mg0.36PO4,0.28,0.14,0.22,0.36
LiFe0.34Mn0.40Ni0.16Mg0.10PO4,0.34,0.4,0.16,0.1
LiFe0.57Mn0.24Ni0.08Mg0.12PO4,0.57,0.24,0.08,0.12
LiFe0.13Mn0.32Ni0.25Mg0.30PO4,0.13,0.32,0.25,0.3
LiFe0.69Mn0.03Ni0.12Mg0.17PO4,0.69,0.03,0.12,0.17
LiFe0.02Mn0.75Ni0.22Mg0.01PO4,0.02,0.75,0.22,0.01
LiFe0.05Mn0.19Ni0.09Mg0.67PO4,0.05,0.19,0.09,0.67
LiFe0.25Mn0.41Ni0.05Mg0.29PO4,0.25,0.41,0.05,0.29
LiFe0.09Mn0.04Ni0.65Mg0.22PO4,0.09,0.04,0.65,0.22
LiFe0.34Mn0.01Ni0.02Mg0.63PO4,0.34,0.01,0.02,0.63
LiFe0.20Mn0.02Ni0.44Mg0.34PO4,0.2,0.02,0.44,0.34
LiFe0.37Mn0.45Ni0.02Mg0.17PO4,0.37,0.45,0.02,0.17
LiFe0.01Mn0.33Ni0.58Mg0.08PO4,0.01,0.33,0.58,0.08
LiFe0.12Mn0.25Ni0.41Mg0.23PO4,0.12,0.25,0.41,0.23
LiFe0.40Mn0.24Ni0.03Mg0.33PO4,0.4,0.24,0.03,0.33
LiFe0.28Mn0.31Ni0.18Mg0.23PO4,0.28,0.31,0.18,0.23
LiFe0.17Mn0.18Ni0.50Mg0.14PO4,0.17,0.18,0.5,0.14
LiFe0.32Mn0.33Ni0.00Mg0.34PO4,0.32,0.33,0.0,0.34
LiFe0.77Mn0.16Ni0.05Mg0.02PO4,0.77,0.16,0.05,0.02
LiFe0.35Mn0.18Ni0.19Mg0.28PO4,0.35,0.18,0.19,0.28
LiFe0.10Mn0.34Ni0.29Mg0.27PO4,0.1,0.34,0.29,0.27
LiFe0.21Mn0.37Ni0.16Mg0.26PO4,0.21,0.37,0.16,0.26
