formula,x_Fe,x_Mn,x_Ni,x_Mg,V_lithiated,V_delithiated,dV_percent,density_g_cm3,U_cut_V
LiFe0.22Mn0.63Ni0.08Mg0.08PO4,0.22,0.63,0.08,0.08,302.82055519270926,276.71025838176985,9.435969943302835,3.4449239777076084,4.256
LiFe0.68Mn0.06Ni0.01Mg0.26PO4,0.68,0.06,0.01,0.26,301.020507882384,280.7840804724828,7.20711351435908,3.474768481470087,4.164
LiFe0.23Mn0.51Ni0.23Mg0.03PO4,0.23,0.51,0.23,0.03,302.7814237294413,276.7988197315679,9.386818926132216,3.4455727712676625,4.254
LiFe0.13Mn0.51Ni0.32Mg0.04PO4,0.13,0.51,0.32,0.04,303.1727383621207,275.91320623358683,9.879748961873203,3.4390848356671233,4.274
LiFe0.35Mn0.43Ni0.10Mg0.13PO4,0.35,0.43,0.1,0.13,302.31184617022603,277.8615559291452,8.799450560665424,3.453358293988309,4.2299999999999995
LiFe0.13Mn0.15Ni0.67Mg0.05PO4,0.13,0.15,0.67,0.05,303.1727383621207,275.91320623358683,9.879748961873203,3.4390848356671233,4.274
LiFe0.14Mn0.51Ni0.18Mg0.17PO4,0.14,0.51,0.18,0.17,303.1336068988528,276.00176758338495,9.830313607419509,3.439733629227177,4.272
LiFe0.02Mn0.76Ni0.04Mg0.17PO4,0.02,0.76,0.04,0.17,303.60318445806803,274.9390313858076,10.425639796496382,3.4319481065065305,4.296
LiFe0.16Mn0.06Ni0.15Mg0.62PO4,0.16,0.06,0.15,0.62,303.0553439723169,276.1788902829812,9.731538012118635,3.4410312163472847,4.268
LiFe0.39Mn0.42Ni0.08Mg0.10PO4,0.39,0.42,0.08,0.1,302.1553203171543,278.21580132833765,8.604658281275803,3.4559534682285245,4.2219999999999995
LiFe0.68Mn0.03Ni0.09Mg0.20PO4,0.68,0.03,0.09,0.2,301.020507882384,280.7840804724828,7.20711351435908,3.474768481470087,4.164
LiFe0.10Mn0.51Ni0.17Mg0.22PO4,0.1,0.51,0.17,0.22,303.29013275192455,275.6475221841925,10.028245619150088,3.437138454986962,4.28
LiFe0.21Mn0.20Ni0.57Mg0.02PO4,0.21,0.2,0.57,0.02,302.85968665597716,276.6216970319717,9.485152432194397,3.4442751841475547,4.258
LiFe0.07Mn0.03Ni0.43Mg0.47PO4,0.07,0.03,0.43,0.47,303.40752714172834,275.38183813479816,10.177028810887569,3.4351920743067996,4.286
LiFe0.23Mn0.35Ni0.01Mg0.42PO4,0.23,0.35,0.01,0.42,302.7814237294413,276.7988197315679,9.386818926132216,3.4455727712676625,4.254
LiFe0.22Mn0.64Ni0.12Mg0.02PO4,0.22,0.64,0.12,0.02,302.82055519270926,276.71025838176985,9.435969943302835,3.4449239777076084,4.256
LiFe0.22Mn0.05Ni0.45Mg0.28PO4,0.22,0.05,0.45,0.28,302.82055519270926,276.71025838176985,9.435969943302835,3.4449239777076084,4.256
LiFe0.51Mn0.08Ni0.02Mg0.40PO4,0.51,0.08,0.02,0.4,301.68574275793895,279.2785375259149,8.023246408594806,3.463738990949171,4.1979999999999995
LiFe0.04Mn0.28Ni0.61Mg0.07PO4,0.04,0.28,0.61,0.07,303.5249215315322,275.1161540854039,10.326099367218335,3.4332456936266382,4.292
LiFe0.07Mn0.18Ni0.43Mg0.33PO4,0.07,0.18,0.43,0.33,303.40752714172834,275.38183813479816,10.177028810887569,3.4351920743067996,4.286
LiFe0.55Mn0.35Ni0.03Mg0.06PO4,0.55,0.35,0.03,0.06,301.5292169048672,279.6327829251074,7.830424512716819,3.466334165189387,4.1899999999999995
LiFe0.17Mn0.10Ni0.10Mg0.62PO4,0.17,0.1,0.1,0.62,303.01621250904896,276.2674516327793,9.682197710291513,3.441680009907339,4.266
LiFe0.43Mn0.12Ni0.16Mg0.29PO4,0.43,0.12,0.16,0.29,301.9987944640825,278.5700467275301,8.410361419606645,3.45854864246874,4.2139999999999995
LiFe0.03Mn0.33Ni0.32Mg0.33PO4,0.03,0.33,0.32,0.33,303.5640529948001,275.02759273560577,10.375853555402156,3.432596900066584,4.294
LiFe0.08Mn0.18Ni0.58Mg0.15PO4,0.08,0.18,0.58,0.15,303.36839567846044,275.4703994845963,10.127402525302582,3.435840867866854,4.284
LiFe0.09Mn0.02Ni0.71Mg0.19PO4,0.09,0.02,0.71,0.19,303.3292642151925,275.5589608343944,10.0778081383053,3.436489661426908,4.282
LiFe0.25Mn0.55Ni0.13Mg0.07PO4,0.25,0.55,0.13,0.07,302.7031608029054,276.9759424311641,9.288611186199027,3.4468703583877702,4.25
